1;'Oficinas / instalaciones'
2;'Instalaciones de producción'
3;'Cableado de infraestructuras (por ejemplo, eléctrico, de puesta a tierra, etc.)'
4;'Servicios básicos (por ejemplo, electricidad, agua, alcantarillado, climatización, aire acondicionado, supresión de incendios, etc.)'
5;'Sala de servidores o centro de datos'
6;'Espacio de trabajo remoto'
7;'Archivos'
8;'Almacenes'
9;'Cajas fuertes'
10;'Gabinetes'
11;'Dispositivos de alimentación unitrrumpible (SAI)'
12;'Generadores eléctricos'
13;'Vehículos'
14;'Teclas'
15;'Sistemas de alarma'
16;'Cámaras de vigilancia y CCTV'
17;'Tarjetas y lectores de tarjetas'
18;'Ordenadores de sobremesa'
19;'Cableado IT (por ejemplo, coaxial, fibra, ethernet, etc.)'
20;'Servidores'
21;'Equipos de medición'
22;'Teléfonos de sobremesa'
23;'WAN inalámbrico (incluye activos WAN además de wi-fi y/o bluetooth, routers, adaptadores, puntos de acceso, etc.)'
24;'LAN inalámbrica (incluye wi-fi y/o bluetooth, routers, adaptadores, puntos de acceso, etc.)'
25;'Medios de almacenamiento'
26;'Impresoras, faxes, escáneres, fotocopiadoras y otros periféricos'
27;'Equipos de red (por ejemplo, cortafuegos, routers y switches)'
28;'Dispositivos móviles (por ejemplo, portátiles, portátiles, tabletas, smartphones, PDAs)'
29;'Bases de datos'
30;'Diversas herramientas de software'
31;'Sistemas de gestión de bases de datos'
32;'Sistemas operativos'
33;'Software personalizado de terceros'
34;'Software desarrollado internamente'
35;'Aplicaciones de terceros listas para usar (por ejemplo, suite de oficina)'
36;'Documentación del equipo'
37;'Registros y registros'
38;'Datos de terceros (sin incluir datos personales)'
39;'Datos personales (por ejemplo, de empleados o clientes)'
40;'Datos propietarios'
41;'Políticas, procedimientos, planes e instrucciones de trabajo'
42;'Leyes, reglamentos, contratos y acuerdos'
43;'Documentación de formación'
44;'Visitantes'
45;'Otros empleados'
46;'Alta dirección'
47;'Empleados remotos'
48;'Empleados con experiencia específica (por ejemplo, administradores de sistemas, diseñadores, desarrolladores de software, expertos en seguridad, etc.)'
49;'Dirección intermedia'
50;'Suministro eléctrico (electricidad)'
51;'Servicios de terceros utilizados a través de Internet (por ejemplo, SaaS)'
52;'Personal externalizado (por ejemplo, autónomos o contratistas)'
53;'Limpieza y mantenimiento de instalaciones'
54;'Auditores, autoridades supervisoras'
55;'Consultores'
56;'Servicios legales'
57;'Servicios de correo y mensajería'
58;'Mantenimiento de software y bases de datos'
59;'Mantenimiento de equipos informáticos'
60;'Servicios de comunicación (voz, Internet, etc.)'
