1;'Los derechos de acceso se conceden más allá de lo necesario'
2;'Activos'
3;'Los activos permanecen en manos de proveedores/socios tras el fin de la relación'
4;'No existe respaldo ni se realiza regularmente'
5;'Interfaz de usuario complicada'
6;'Nivel de confidencialidad no claramente definido'
7;'Claves criptográficas accesibles para personas no autorizadas'
8;'Eliminación de medios de almacenamiento sin borrar datos'
9;'Descargas de Internet no controladas'
10;'Equipamiento inadecuado / incompatible'
11;'Capacidad insuficiente de equipos de TI / comunicación'
12;'Control inadecuado de cambios en documentos y datos'
13;'Control inadecuado de cambios en equipos de TI / comunicaciones'
14;'Control de cambios inadecuado del software y sus bases de datos'
15;'Cableado eléctrico inadecuado'
16;'Capacidad de infraestructura insuficiente'
17;'Control inadecuado de cambios en infraestructuras'
18;'Cableado informático inadecuado'
19;'Nivel insuficiente de conocimiento y/o conciencia'
20;'Mantenimiento inadecuado de equipos de TI / comunicaciones'
21;'Gestión inadecuada de la red'
22;'Protección física insuficiente de documentos'
23;'Segregación insuficiente de funciones'
24;'Supervisión inadecuada de proveedores externos'
25;'Supervisión inadecuada del trabajo'
26;'Infraestructura incompatible'
27;'Infraestructura o equipamiento incompatibles'
28;'No está claro si terceros mantendrán sus operaciones comerciales'
29;'Falta de mantenimiento o insuficiente'
30;'Falta de software antivirus o no actualizado'
31;'Falta de / mala auditoría interna de documentos y datos'
32;'Falta de auditoría interna o deficiente de recursos humanos'
33;'Falta de / mala auditoría interna de la infraestructura'
34;'Falta de / deficiente auditoría interna de equipos de TI / comunicaciones'
35;'Falta de auditoría interna o deficiente del software y sus bases de datos'
36;'Falta de controles de acceso a instalaciones, habitaciones u oficinas'
37;'Falta de una fuente de alimentación alternativa'
38;'Falta de control sobre dónde almacena la información de terceros'
39;'Falta de pruebas de mensajes enviados o recibidos'
40;'Falta de acuerdos formales'
41;'Falta de información sobre quién utiliza los sistemas de información'
42;'Falta de control de datos de entrada y salida'
43;'Falta o deficiente implementación de auditorías de servicios de terceros'
44;'Falta de validación para los datos procesados'
45;'Ubicación de infraestructuras sensibles a desastres naturales'
46;'Ubicación de la infraestructura sensible a fugas de agua'
47;'Equipos móviles mal atendidos'
48;'Equipos móviles inadecuadamente protegidos físicamente'
49;'Dispositivos de red están insuficientemente protegidos físicamente'
50;'No se permiten desactivaciones de cuentas de usuario tras el terminamiento del contrato'
51;'Dependencia excesiva de un proveedor o socio'
52;'Dependencia excesiva de un solo dispositivo'
53;'Sobredependencia de una sola infraestructura'
54;'Sobredependencia de un sistema'
55;'Mala selección de datos de pruebas'
56;'La persona de reemplazo no existe / es inadecuada'
57;'Requisitos para el desarrollo de software no claramente definidos'
58;'Normas para equipos de TI / comunicaciones no claramente definidas'
59;'Reglas para software y sus bases de datos no claramente definidas'
60;'Reglas para trabajar fuera de las instalaciones no claramente definidas'
61;'Reglas sobre el control de documentos no claramente definidas'
62;'Normas sobre cómo manejar información no claramente definidas'
63;'Normas sobre cómo tratar a terceros no están claramente definidas'
64;'Normas relacionadas con infraestructuras no claramente definidas'
65;'Sensibilidad del equipo a la humedad y la contaminación'
66;'Sensibilidad del equipo a la temperatura'
67;'Sensibilidad del equipo al cambio de tensión'
68;'Las sesiones permanecen activas después del horario laboral'
69;'Copia única / solo una copia de la información disponible'
70;'Componentes de software no compatibles'
71;'Fallo de diseño de software'
72;'Error de configuración del software'
73;'Las contraseñas generadas por el sistema permanecen sin cambios'
74;'Sistemas no protegidos contra accesos no autorizados'
75;'El entorno de prueba y el entorno operativo no están separados'
76;'Un tercero no tiene un control de acceso adecuado'
77;'Cambio en la estrategia empresarial de terceros'
78;'Terceros no están suficientemente preparados para las interrupciones'
79;'Copia incontrolada de documentos y datos'
80;'Software no documentado'
81;'Empleados desmotivados o descontentos'
82;'Uso de infraestructuras, equipos e instalaciones antiguas'
83;'Uso de equipos antiguos de TI/comunicación'
84;'Vulnerabilidades'
85;'Contraseñas débiles'
86;'Configuración incorrecta del acceso a la red'
87;'Comprensión errónea sobre la sensibilidad de la información'
